iter	Passed	Remaining
0	2	2811
1	5	2948
2	8	2955
3	12	3009
4	15	3113
5	19	3153
6	21	3110
7	24	3069
8	27	3049
9	30	3057
10	34	3076
11	37	3053
12	39	3036
13	42	3018
14	46	3065
15	49	3053
16	52	3046
17	55	3040
18	59	3048
19	62	3042
20	65	3045
21	68	3038
22	71	3037
23	74	3038
24	77	3040
25	81	3037
26	84	3028
27	87	3020
28	89	3010
29	92	2996
30	95	2989
31	98	2983
32	101	2976
33	104	2965
34	107	2960
35	110	2954
36	113	2947
37	116	2937
38	119	2934
39	122	2928
40	124	2918
41	127	2910
42	130	2905
43	133	2898
44	136	2888
45	138	2879
46	141	2874
47	144	2868
48	147	2866
49	150	2861
50	153	2857
51	156	2855
52	159	2851
53	162	2845
54	165	2839
55	168	2836
56	171	2834
57	174	2830
58	177	2826
59	180	2825
60	183	2821
61	186	2816
62	189	2813
63	192	2808
64	194	2803
65	197	2797
66	200	2790
67	203	2785
68	206	2783
69	209	2779
70	212	2773
71	214	2770
72	217	2766
73	220	2763
74	223	2760
75	226	2755
76	229	2750
77	232	2745
78	235	2743
79	238	2741
80	241	2736
81	243	2729
82	246	2726
83	249	2722
84	252	2719
85	255	2715
86	258	2711
87	261	2707
88	264	2703
89	267	2703
90	270	2699
91	273	2695
92	276	2692
93	278	2687
94	281	2683
95	284	2679
96	287	2675
97	290	2671
98	293	2667
99	296	2665
100	299	2666
101	302	2664
102	305	2660
103	308	2657
104	311	2654
105	314	2649
106	317	2646
107	319	2642
108	322	2638
109	325	2636
110	328	2632
111	332	2633
112	335	2632
113	338	2631
114	341	2629
115	344	2625
116	347	2621
117	350	2617
118	353	2614
119	356	2611
120	359	2608
121	361	2605
122	365	2602
123	367	2598
124	370	2596
125	373	2593
126	376	2588
127	379	2585
128	382	2582
129	385	2579
130	388	2576
131	391	2572
132	393	2568
133	396	2565
134	400	2564
135	403	2560
136	405	2557
137	408	2553
138	411	2549
139	414	2546
140	417	2542
141	420	2539
142	423	2536
143	426	2533
144	429	2530
145	431	2526
146	434	2522
147	437	2518
148	440	2515
149	443	2512
150	446	2509
151	449	2505
152	452	2502
153	455	2500
154	458	2499
155	461	2495
156	464	2492
157	467	2489
158	470	2486
159	472	2482
160	475	2478
161	478	2477
162	482	2475
163	484	2471
164	487	2467
165	490	2465
166	493	2462
167	496	2459
168	499	2457
169	503	2456
170	506	2453
171	509	2450
172	511	2446
173	514	2443
174	517	2440
175	520	2438
176	523	2435
177	526	2433
178	529	2429
179	532	2426
180	535	2422
181	538	2420
182	541	2417
183	544	2415
184	547	2412
185	550	2411
186	554	2409
187	557	2410
188	561	2411
189	565	2409
190	569	2411
191	572	2409
192	575	2408
193	579	2406
194	582	2403
195	585	2402
196	589	2401
197	592	2400
198	596	2399
199	599	2398
200	602	2396
201	606	2395
202	610	2395
203	613	2393
204	617	2392
205	620	2392
206	623	2389
207	627	2387
208	630	2386
209	633	2384
210	637	2384
211	641	2384
212	645	2383
213	649	2384
214	653	2384
215	656	2382
216	659	2379
217	662	2376
218	666	2375
219	669	2372
220	672	2369
221	675	2365
222	678	2362
223	681	2361
224	684	2359
225	688	2356
226	691	2354
227	695	2353
228	698	2351
229	702	2350
230	705	2349
231	709	2347
232	712	2345
233	716	2344
234	719	2341
235	722	2338
236	725	2335
237	728	2333
238	732	2332
239	736	2331
240	740	2330
241	743	2329
242	747	2328
243	751	2327
244	754	2325
245	757	2321
246	760	2319
247	764	2317
248	767	2315
249	771	2313
250	774	2310
251	777	2307
252	780	2305
253	784	2304
254	788	2302
255	792	2301
256	795	2300
257	799	2299
258	803	2298
259	806	2296
260	810	2294
261	814	2294
262	818	2293
263	822	2291
264	825	2288
265	828	2286
266	831	2283
267	835	2282
268	840	2282
269	843	2280
270	847	2279
271	850	2276
272	854	2274
273	856	2270
274	860	2269
275	864	2266
276	867	2263
277	870	2260
278	873	2257
279	876	2254
280	880	2251
281	883	2249
282	886	2247
283	891	2248
284	895	2246
285	899	2245
286	903	2245
287	907	2243
288	911	2241
289	914	2237
290	917	2234
291	920	2232
292	924	2231
293	928	2229
294	932	2228
295	936	2227
296	941	2227
297	945	2226
298	949	2225
299	953	2224
300	956	2221
301	959	2218
302	962	2214
303	966	2212
304	969	2209
305	973	2207
306	977	2205
307	981	2204
308	985	2202
309	989	2201
310	993	2201
311	997	2199
312	1001	2197
313	1004	2195
314	1008	2193
315	1012	2190
316	1015	2188
317	1019	2187
318	1023	2185
319	1028	2184
320	1031	2182
321	1035	2180
322	1039	2177
323	1042	2174
324	1045	2171
325	1048	2168
326	1052	2165
327	1055	2163
328	1059	2159
329	1062	2157
330	1066	2155
331	1070	2153
332	1074	2151
333	1077	2149
334	1081	2146
335	1085	2145
336	1089	2143
337	1093	2141
338	1096	2138
339	1100	2136
340	1104	2133
341	1108	2131
342	1111	2129
343	1115	2127
344	1119	2125
345	1122	2122
346	1126	2119
347	1130	2117
348	1134	2115
349	1137	2112
350	1140	2109
351	1144	2106
352	1147	2103
353	1150	2099
354	1154	2097
355	1157	2094
356	1161	2091
357	1165	2089
358	1168	2086
359	1172	2084
360	1176	2081
361	1180	2080
362	1184	2078
363	1188	2075
364	1191	2073
365	1195	2070
366	1198	2067
367	1201	2064
368	1206	2062
369	1210	2060
370	1214	2058
371	1218	2056
372	1221	2053
373	1224	2049
374	1227	2045
375	1230	2042
376	1233	2038
377	1236	2034
378	1239	2031
379	1242	2027
380	1245	2023
381	1248	2019
382	1251	2016
383	1254	2012
384	1257	2008
385	1260	2005
386	1264	2002
387	1267	1998
388	1270	1994
389	1272	1990
390	1275	1986
391	1278	1983
392	1281	1979
393	1284	1975
394	1287	1972
395	1290	1968
396	1293	1965
397	1296	1961
398	1300	1958
399	1302	1954
400	1306	1951
401	1309	1948
402	1312	1944
403	1315	1941
404	1318	1937
405	1321	1933
406	1324	1930
407	1327	1926
408	1330	1922
409	1333	1918
410	1336	1914
411	1339	1911
412	1342	1907
413	1344	1903
414	1348	1900
415	1351	1897
416	1354	1893
417	1358	1891
418	1361	1887
419	1364	1883
420	1367	1880
421	1370	1876
422	1372	1872
423	1376	1870
424	1379	1866
425	1383	1863
426	1386	1860
427	1389	1856
428	1392	1852
429	1395	1849
430	1397	1845
431	1400	1841
432	1403	1838
433	1406	1834
434	1409	1830
435	1412	1827
436	1416	1824
437	1419	1821
438	1422	1817
439	1425	1814
440	1429	1811
441	1432	1808
442	1435	1805
443	1439	1802
444	1442	1799
445	1446	1796
446	1449	1793
447	1452	1789
448	1455	1786
449	1458	1782
450	1461	1778
451	1464	1775
452	1467	1772
453	1470	1769
454	1474	1765
455	1477	1762
456	1480	1758
457	1483	1755
458	1486	1751
459	1489	1748
460	1491	1744
461	1494	1740
462	1497	1737
463	1501	1733
464	1505	1732
465	1508	1728
466	1511	1725
467	1515	1722
468	1518	1719
469	1521	1716
470	1525	1712
471	1528	1709
472	1531	1705
473	1535	1703
474	1538	1699
475	1540	1696
476	1543	1692
477	1546	1689
478	1549	1685
479	1552	1681
480	1555	1678
481	1558	1674
482	1561	1671
483	1564	1667
484	1567	1663
485	1570	1660
486	1573	1657
487	1576	1654
488	1579	1650
489	1582	1647
490	1585	1643
491	1588	1640
492	1591	1636
493	1594	1633
494	1597	1629
495	1600	1626
496	1603	1622
497	1606	1619
498	1609	1615
499	1612	1612
500	1615	1608
501	1618	1605
502	1620	1601
503	1623	1598
504	1627	1595
505	1630	1591
506	1633	1588
507	1637	1585
508	1641	1583
509	1644	1579
510	1647	1576
511	1649	1572
512	1652	1569
513	1655	1565
514	1658	1562
515	1661	1558
516	1664	1555
517	1667	1551
518	1670	1548
519	1673	1544
520	1676	1541
521	1679	1537
522	1682	1534
523	1686	1531
524	1689	1528
525	1692	1525
526	1695	1521
527	1698	1518
528	1701	1514
529	1704	1511
530	1707	1507
